Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Age	Sex	Ancestry	StudyID
Gadd DA	Generation Scotland	35945220	31/07/2022	AKR1B1 protein levels (SeqId = 16606-85)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	AKR1B1 protein levels (SeqId = 16606-85)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Aldo-keto reductase family 1 member B1	774	1	Adults (18-65 years)	Both	European	Gadd-DA_akr1b1_protein_levels__seqid___16606-85__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	GSN protein levels (SeqId = 16607-78)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	GSN protein levels (SeqId = 16607-78)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Gelsolin	774	1	Adults (18-65 years)	Both	European	Gadd-DA_gsn_protein_levels__seqid___16607-78__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	KIRREL2 protein levels (SeqId = 16609-106)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	KIRREL2 protein levels (SeqId = 16609-106)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Kin of IRRE-like protein 2	774	1	Adults (18-65 years)	Both	European	Gadd-DA_kirrel2_protein_levels__seqid___16609-106__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	LRP10 protein levels (SeqId = 16610-13)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	LRP10 protein levels (SeqId = 16610-13)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Low-density lipoprotein receptor-related protein 10	774	1	Adults (18-65 years)	Both	European	Gadd-DA_lrp10_protein_levels__seqid___16610-13__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	CDH17 protein levels (SeqId = 16613-3)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	CDH17 protein levels (SeqId = 16613-3)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Cadherin-17	774	1	Adults (18-65 years)	Both	European	Gadd-DA_cdh17_protein_levels__seqid___16613-3__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	RSPO1 protein levels (SeqId = 16614-27)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	RSPO1 protein levels (SeqId = 16614-27)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: R-spondin-1	774	1	Adults (18-65 years)	Both	European	Gadd-DA_rspo1_protein_levels__seqid___16614-27__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	LY75 protein levels (SeqId = 16620-26)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	LY75 protein levels (SeqId = 16620-26)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Lymphocyte antigen 75	774	1	Adults (18-65 years)	Both	European	Gadd-DA_ly75_protein_levels__seqid___16620-26__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	APOA1BP protein levels (SeqId = 16621-77)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	APOA1BP protein levels (SeqId = 16621-77)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: NAD(P)H-hydrate epimerase	774	1	Adults (18-65 years)	Both	European	Gadd-DA_apoa1bp_protein_levels__seqid___16621-77__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	INHBB protein levels (SeqId = 16746-12)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	INHBB protein levels (SeqId = 16746-12)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Inhibin beta B chain	774	1	Adults (18-65 years)	Both	European	Gadd-DA_inhbb_protein_levels__seqid___16746-12__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	BMP3 protein levels (SeqId = 16748-1)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	BMP3 protein levels (SeqId = 16748-1)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Bone morphogenetic protein 3	774	1	Adults (18-65 years)	Both	European	Gadd-DA_bmp3_protein_levels__seqid___16748-1__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	GDF10 protein levels (SeqId = 16749-79)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	GDF10 protein levels (SeqId = 16749-79)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Growth/differentiation factor 10	774	1	Adults (18-65 years)	Both	European	Gadd-DA_gdf10_protein_levels__seqid___16749-79__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	NPPB protein levels (SeqId = 16751-15)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	NPPB protein levels (SeqId = 16751-15)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Natriuretic peptides B	774	1	Adults (18-65 years)	Both	European	Gadd-DA_nppb_protein_levels__seqid___16751-15__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	COL6A2 protein levels (SeqId = 16753-46)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	COL6A2 protein levels (SeqId = 16753-46)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Collagen alpha-2(VI) chain	774	1	Adults (18-65 years)	Both	European	Gadd-DA_col6a2_protein_levels__seqid___16753-46__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	GDF3 protein levels (SeqId = 16755-195)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	GDF3 protein levels (SeqId = 16755-195)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Growth/differentiation factor 3	774	1	Adults (18-65 years)	Both	European	Gadd-DA_gdf3_protein_levels__seqid___16755-195__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	GDF7 protein levels (SeqId = 16756-30)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	GDF7 protein levels (SeqId = 16756-30)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Growth/differentiation factor 7	774	1	Adults (18-65 years)	Both	European	Gadd-DA_gdf7_protein_levels__seqid___16756-30__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	HDGF protein levels (SeqId = 16758-96)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	HDGF protein levels (SeqId = 16758-96)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Hepatoma-derived growth factor	774	1	Adults (18-65 years)	Both	European	Gadd-DA_hdgf_protein_levels__seqid___16758-96__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	IL26 protein levels (SeqId = 16760-2)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	IL26 protein levels (SeqId = 16760-2)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Interleukin-26	774	1	Adults (18-65 years)	Both	European	Gadd-DA_il26_protein_levels__seqid___16760-2__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	LECT2 protein levels (SeqId = 16763-11)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	LECT2 protein levels (SeqId = 16763-11)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Leukocyte cell-derived chemotaxin-2	774	1	Adults (18-65 years)	Both	European	Gadd-DA_lect2_protein_levels__seqid___16763-11__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	PPBP protein levels (SeqId = 16765-52)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	PPBP protein levels (SeqId = 16765-52)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Platelet basic protein	774	1	Adults (18-65 years)	Both	European	Gadd-DA_ppbp_protein_levels__seqid___16765-52__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	JUP protein levels (SeqId = 16768-3)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	JUP protein levels (SeqId = 16768-3)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Junction plakoglobin	774	1	Adults (18-65 years)	Both	European	Gadd-DA_jup_protein_levels__seqid___16768-3__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	RAC3 protein levels (SeqId = 16769-20)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	RAC3 protein levels (SeqId = 16769-20)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Ras-related C3 botulinum toxin substrate 3	774	1	Adults (18-65 years)	Both	European	Gadd-DA_rac3_protein_levels__seqid___16769-20__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	REG1B protein levels (SeqId = 16770-3)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	REG1B protein levels (SeqId = 16770-3)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Lithostathine-1-beta	774	1	Adults (18-65 years)	Both	European	Gadd-DA_reg1b_protein_levels__seqid___16770-3__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	SCUBE3 protein levels (SeqId = 16773-29)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	SCUBE3 protein levels (SeqId = 16773-29)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Signal peptide, CUB and EGF-like domain-containing protein 3	774	1	Adults (18-65 years)	Both	European	Gadd-DA_scube3_protein_levels__seqid___16773-29__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	ENGASE protein levels (SeqId = 16781-2)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	ENGASE protein levels (SeqId = 16781-2)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Cytosolic endo-beta-N-acetylglucosaminidase	774	1	Adults (18-65 years)	Both	European	Gadd-DA_engase_protein_levels__seqid___16781-2__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	DEFA5 protein levels (SeqId = 16785-45)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	DEFA5 protein levels (SeqId = 16785-45)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Defensin-5	774	1	Adults (18-65 years)	Both	European	Gadd-DA_defa5_protein_levels__seqid___16785-45__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	SIGLEC5 protein levels (SeqId = 16792-4)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	SIGLEC5 protein levels (SeqId = 16792-4)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Sialic acid-binding Ig-like lectin 5	774	1	Adults (18-65 years)	Both	European	Gadd-DA_siglec5_protein_levels__seqid___16792-4__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	OCIAD1 protein levels (SeqId = 16802-31)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	OCIAD1 protein levels (SeqId = 16802-31)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: OCIA domain-containing protein 1	774	1	Adults (18-65 years)	Both	European	Gadd-DA_ociad1_protein_levels__seqid___16802-31__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	CALB2 protein levels (SeqId = 16803-4)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	CALB2 protein levels (SeqId = 16803-4)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Calretinin	774	1	Adults (18-65 years)	Both	European	Gadd-DA_calb2_protein_levels__seqid___16803-4__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	PDE5A protein levels (SeqId = 16805-5)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	PDE5A protein levels (SeqId = 16805-5)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: cGMP-specific 3',5'-cyclic phosphodiesterase	774	1	Adults (18-65 years)	Both	European	Gadd-DA_pde5a_protein_levels__seqid___16805-5__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	TNNT3 protein levels (SeqId = 16807-35)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	TNNT3 protein levels (SeqId = 16807-35)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Troponin T, fast skeletal muscle	774	1	Adults (18-65 years)	Both	European	Gadd-DA_tnnt3_protein_levels__seqid___16807-35__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	GDI1 protein levels (SeqId = 16810-3)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	GDI1 protein levels (SeqId = 16810-3)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Rab GDP dissociation inhibitor alpha	774	1	Adults (18-65 years)	Both	European	Gadd-DA_gdi1_protein_levels__seqid___16810-3__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	FHL1 protein levels (SeqId = 16814-13)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	FHL1 protein levels (SeqId = 16814-13)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Four and a half LIM domains protein 1	774	1	Adults (18-65 years)	Both	European	Gadd-DA_fhl1_protein_levels__seqid___16814-13__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	CDCP1 protein levels (SeqId = 16818-200)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	CDCP1 protein levels (SeqId = 16818-200)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: CUB domain-containing protein 1	774	1	Adults (18-65 years)	Both	European	Gadd-DA_cdcp1_protein_levels__seqid___16818-200__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	APOL3 protein levels (SeqId = 16823-75)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	APOL3 protein levels (SeqId = 16823-75)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Apolipoprotein L3	774	1	Adults (18-65 years)	Both	European	Gadd-DA_apol3_protein_levels__seqid___16823-75__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	ATXN3 protein levels (SeqId = 16825-20)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	ATXN3 protein levels (SeqId = 16825-20)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Ataxin-3	774	1	Adults (18-65 years)	Both	European	Gadd-DA_atxn3_protein_levels__seqid___16825-20__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	COL6A1 protein levels (SeqId = 16828-8)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	COL6A1 protein levels (SeqId = 16828-8)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Collagen alpha-1(VI) chain	774	1	Adults (18-65 years)	Both	European	Gadd-DA_col6a1_protein_levels__seqid___16828-8__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	DOK1 protein levels (SeqId = 16831-7)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	DOK1 protein levels (SeqId = 16831-7)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Docking protein 1	774	1	Adults (18-65 years)	Both	European	Gadd-DA_dok1_protein_levels__seqid___16831-7__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	CFHR3 protein levels (SeqId = 16836-1)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	CFHR3 protein levels (SeqId = 16836-1)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Complement factor H-related protein 3	774	1	Adults (18-65 years)	Both	European	Gadd-DA_cfhr3_protein_levels__seqid___16836-1__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	MPZL1 protein levels (SeqId = 16845-15)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	MPZL1 protein levels (SeqId = 16845-15)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Myelin protein zero-like protein 1	774	1	Adults (18-65 years)	Both	European	Gadd-DA_mpzl1_protein_levels__seqid___16845-15__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	RGS5 protein levels (SeqId = 16850-5)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	RGS5 protein levels (SeqId = 16850-5)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Regulator of G-protein signaling 5	774	1	Adults (18-65 years)	Both	European	Gadd-DA_rgs5_protein_levels__seqid___16850-5__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	PDZK1 protein levels (SeqId = 16852-10)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	PDZK1 protein levels (SeqId = 16852-10)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Na(+)/H(+) exchange regulatory cofactor NHE-RF3	774	1	Adults (18-65 years)	Both	European	Gadd-DA_pdzk1_protein_levels__seqid___16852-10__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	NRK1 protein levels (SeqId = 16853-5)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	NRK1 protein levels (SeqId = 16853-5)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Nicotinamide riboside kinase 1	774	1	Adults (18-65 years)	Both	European	Gadd-DA_nrk1_protein_levels__seqid___16853-5__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	LSM4 protein levels (SeqId = 16854-17)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	LSM4 protein levels (SeqId = 16854-17)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: U6 snRNA-associated Sm-like protein LSm4	774	1	Adults (18-65 years)	Both	European	Gadd-DA_lsm4_protein_levels__seqid___16854-17__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	MAPRE2 protein levels (SeqId = 16856-79)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	MAPRE2 protein levels (SeqId = 16856-79)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Microtubule-associated protein RP/EB family member 2	774	1	Adults (18-65 years)	Both	European	Gadd-DA_mapre2_protein_levels__seqid___16856-79__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	RAB2A protein levels (SeqId = 16857-2)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	RAB2A protein levels (SeqId = 16857-2)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Ras-related protein Rab-2A	774	1	Adults (18-65 years)	Both	European	Gadd-DA_rab2a_protein_levels__seqid___16857-2__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	RCN3 protein levels (SeqId = 16858-384)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	RCN3 protein levels (SeqId = 16858-384)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Reticulocalbin-3	774	1	Adults (18-65 years)	Both	European	Gadd-DA_rcn3_protein_levels__seqid___16858-384__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	SH3GLB1 protein levels (SeqId = 16859-100)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	SH3GLB1 protein levels (SeqId = 16859-100)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Endophilin-B1	774	1	Adults (18-65 years)	Both	European	Gadd-DA_sh3glb1_protein_levels__seqid___16859-100__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	NANP protein levels (SeqId = 16863-47)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	NANP protein levels (SeqId = 16863-47)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: N-acylneuraminate-9-phosphatase	774	1	Adults (18-65 years)	Both	European	Gadd-DA_nanp_protein_levels__seqid___16863-47__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	TAF15 protein levels (SeqId = 16865-62)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	TAF15 protein levels (SeqId = 16865-62)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: TATA-binding protein-associated factor 2N	774	1	Adults (18-65 years)	Both	European	Gadd-DA_taf15_protein_levels__seqid___16865-62__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	PCTK1 protein levels (SeqId = 16867-76)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	PCTK1 protein levels (SeqId = 16867-76)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Cyclin-dependent kinase 16	774	1	Adults (18-65 years)	Both	European	Gadd-DA_pctk1_protein_levels__seqid___16867-76__somascan_protein_measurement
Gadd DA	Generation Scotland	35945220	31/07/2022	GSTZ1 protein levels (SeqId = 16872-248)	NA	SomaScan protein measurement	https://doi.org/10.5281/zenodo.6801458	GSTZ1 protein levels (SeqId = 16872-248)	DNA methylation	Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking	NA	M values	Illumina HumanMethylationEPIC	Whole blood	Full UniProt name: Maleylacetoacetate isomerase	774	1	Adults (18-65 years)	Both	European	Gadd-DA_gstz1_protein_levels__seqid___16872-248__somascan_protein_measurement
